Unnamed: 0,long_name,short_name,geolocation,is_goverment,rating,logo,website,phone_admission,phone_general,email_general,email_admission,comment
169,Нижнетагильский государственный социально-педагогический институт (филиал) РГППУ в г. Нижнем Тагиле,НТГСПИ (филиал) РГППУ в г. Нижнем Тагиле,Свердловская область,1,-1,https://tabiturient.ru/logovuz/rsvpu.png,https://ntspi.ru/,[],[],['office@ntspi.ru'],[],
170,Невинномысский технологический институт (филиал) Северо-Кавказского федерального университета,НТИ (филиал) СКФУ,Ставропольский край,1,-1,https://tabiturient.ru/logovuz/ncfu.png,https://nti.ncfu.ru/,['8 (928) 230-80-44'],[],['nv.info@ncfu.ru'],['nv.info@ncfu.ru'],
171,Новоуральский технологический институт  (филиал) Национального исследовательского ядерного университета МИФИ,НТИ НИЯУ МИФИ,Свердловская область,1,-1,https://tabiturient.ru/logovuz/ntimephi.png,https://nti.mephi.ru/,[],[],['nsti@mephi.ru'],[],
172,Набережночелнинский филиал Казанского национального исследовательского технического университета имени А. Н. Туполева,НЧФ КНИТУ-КАИ,Республика Татарстан,1,-1,https://tabiturient.ru/logovuz/kai.png,https://chelny.kai.ru,[],['+7 (843) 231-01-09'],['kai@kai.ru'],[],
173,Набережночелнинский институт Казанского федерального университета,Набережночелнинский институт КФУ,Республика Татарстан,1,-1,https://tabiturient.ru/logovuz/kfu.png,https://kpfu.ru/chelny,[],['8552) 39-71-40'],['chelny@kpfu.ru'],[],
174,Нижегородский государственный агротехнологический университет,Нижегородский ГАТУ,Нижегородская область,1,3,https://tabiturient.ru/logovuz/nnsaa.png,https://nnsatu.ru/,"['+7 (930) 705-60-89', '+7 (831) 214-33-49']",['+7 (831) 214-33-49'],['kancel-nnsatu@bk.ru'],['kancel-nnsatu@bk.ru'],
175,Нижегородский институт управления - филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Нижегородский институт управления - филиал РАНХиГС,Нижегородская область,1,-1,https://tabiturient.ru/logovuz/niu_ranepa.png,https://niu.ranepa.ru/,[],[],[],[],
176,Нижнекамский химико-технологический институт (филиал) Казанского национального исследовательского технологического университета,Нижнекамский химико-технологический институт КНИТУ,Республика Татарстан,1,-1,https://tabiturient.ru/logovuz/knitu.png,https://www.nchti.ru/,[],['8(8555) 44-88-49'],[],[],
177,Нижнетагильский технологический институт (филиал) Уральского федерального университета,Нижнетагильский технологический институт (филиал) УрФУ,Свердловская область,1,-1,https://tabiturient.ru/logovuz/ntiurfu.png,http://nti.urfu.ru/,['+7 (343) 525-65-00'],[],[],['59nti@urfu.ru'],
178,Новогородский государственный университет,НовГУ,Новгородская область,1,7,https://tabiturient.ru/logovuz/novsu.png,https://www.novsu.ru/,"['+7(8162)33-20-44', '8 (8162)33-20-44']",[],[],[],
179,Новгородский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Новгородский филиал РАНХиГС,Новгородская область,1,-1,https://tabiturient.ru/logovuz/novgor_ranepa.png,https://novgor.ranepa.ru/,[],[],[],[],
180,Новомосковский институт (филиал) РХТУ им. Д.И. Менделеева,Новомосковский институт РХТУ им. Д.И. Менделеева,Тульская область,1,-1,https://tabiturient.ru/logovuz/nirhtu.png,https://www.nirhtu.ru/,[],[],[],[],
181,Новороссийский политехнический институт (филиал) Кубанского государственного технического университета,Новороссийский политехнический институт КубГТУ,Краснодарский край,1,-1,https://tabiturient.ru/logovuz/kubstu.png,http://npi.edu.ru/,[],[],[],[],
182,Новороссийский филиал Финансового Университета при Правительстве Российской Федерации,Новороссийский филиал ФУ при Правительстве РФ,Краснодарский край,1,-1,https://tabiturient.ru/logovuz/fu.png,http://www.fa.ru/fil/novoross/,[],[],[],[],
183,Новосибирский юридический институт (филиал) Томского государственного университета,Новосибирский юридический институт (филиал) ТГУ,Новосибирская область,1,-1,https://tabiturient.ru/logovuz/tgu.png,https://www.n-l-i.ru/,['8 (383) 217-74-30'],"['8 (383) 223-93-02', '8 (383) 217-74-30']",['pk@n-l-i.ru'],"['info@n-l-i.ru', 'pk@n-l-i.ru']",
184,Новотроицкий филиал Национального исследовательского технологического университета «МИСИС»,Новотроицкий филиал МИСиС,Оренбургская область,1,-1,https://tabiturient.ru/logovuz/misis.png,http://nf.misis.ru/,['+7 (3537) 67-96-17'],[],[],[],
185,Новочеркасский инженерно-мелиоративный институт им. А.К.Кортунова (филиал)  Донского государственного аграрного университета в г. Зернограде,Новочеркасский инженерно-мелиоративный институт им. А.К.Кортунова (филиал) ДГАУ,Ростовская область,1,-1,https://tabiturient.ru/logovuz/dongau.png,https://www.ngma.su/,[],[],['nimi-info@yandex.ru'],[],
186,Оренбургский государственный аграрный университет,ОГАУ,Оренбургская область,1,3,https://tabiturient.ru/logovuz/orensau.png,https://orensau.ru/,['8(3532) 77-52-30'],['8(3532) 77-52-30'],['rector@orensau.ru'],['rector@orensau.ru'],
187,Орловский государственный институт культуры,ОГИК,Орловская область,1,-1,https://tabiturient.ru/logovuz/ogiikorel.png,http://ogiik.orel.ru/,['+7(486)241-6191'],['+7 (486) 241-6191'],['main@ogik.ru'],['main@ogik.ru'],
188,Оренбургский государственный педагогический университет,ОГПУ,Оренбургская область,1,7,https://tabiturient.ru/logovuz/ospu.png,https://ospu.ru/,['8 (3532) 500393'],[],[],['ospu@ospu.ru'],
189,Оренбургский государственный университет,ОГУ,Оренбургская область,1,5,https://tabiturient.ru/logovuz/osu.png,http://www.osu.ru/,[],['8 800 222-55-71'],['post@mail.osu.ru'],[],
190,Орловский государственный университет имени И. С. Тургенева,ОГУ им. И.С. Тургенева,Орловская область,1,6,https://tabiturient.ru/logovuz/oreluniver.png,http://oreluniver.ru/,[],[],[],[],
191,Орловский государственный институт экономики и торговли,ОГУЭТ,Орловская область,1,3,https://tabiturient.ru/logovuz/orelgiet.png,https://orelgiet.ru/,[],[],[],[],
192,Озерский технологический институт (филиал) Национального исследовательского ядерного университета МИФИ,ОТИ НИЯУ МИФИ,Челябинская область,1,-1,https://tabiturient.ru/logovuz/otiru.png,https://oti.ru/,['+7 995 105-84-66'],[],['oti@mephi.ru'],['oti@mephi.ru'],
193,Омский государственный аграрный университет имени П.А.Столыпина,ОмГАУ им. П.А.Столыпина,Омская область,1,3,https://tabiturient.ru/logovuz/omgau.png,https://www.omgau.ru/,[],[],[],[],
194,Омский государственный медицинский университет,ОмГМУ,Омская область,1,9,https://tabiturient.ru/logovuz/osma.png,http://omsk-osma.ru/,[],[],[],"['abiturient@omgmu.ru', 'rector@omsk-osma.ru']",
195,Омский государственный педагогический университет,ОмГПУ,Омская область,1,5,https://tabiturient.ru/logovuz/omgpu.png,https://omgpu.ru/,[],[],[],[],
196,Омский государственный технический университет,ОмГТУ,Омская область,1,5,https://tabiturient.ru/logovuz/omgtu.png,https://www.omgtu.ru,['+7 (3812) 65-34-07'],[],[],['info@omgtu.ru'],
197,Омский государственный университет  им. Ф.М. Достоевского,ОмГУ им. Ф.М. Достоевского,Омская область,1,5,https://tabiturient.ru/logovuz/omsu.png,http://www.omsu.ru/,[],[],[],[],
198,Омский государственный университет путей сообщения,ОмГУПС,Омская область,1,3,https://tabiturient.ru/logovuz/omgups.png,http://www.omgups.ru/,['+7 (3812) 31-06-22'],['+7 (3812) 31-06-22'],['omgups@omgups.ru'],[],
0,Арктический государственный агротехнологический университет,АГАТУ,Республика Саха (Якутия),1,3,https://tabiturient.ru/logovuz/agatu.png,http://www.agatu.ru/,['+7 (967) 912-65-61'],[],['info@agatu.ru'],"['abiturient@agatu.ru', 'info@agatu.ru']",
1,Алтайский государственный гуманитарно-педагогический университет имени В.М. Шукшина,АГГПУ им. В.М. Шукшина,Алтайский край,1,5,https://tabiturient.ru/logovuz/bigpibiysk.png,http://www2.bigpi.biysk.ru/wwwsite/news.php,[],[],[],[],
2,Алтайский государственный институт культуры,АГИК,Алтайский край,1,-1,https://tabiturient.ru/logovuz/altgaki.png,http://www.altgaki.org/,[],[],[],[],
3,Арктический государственный институт культуры и искусств,АГИКИ,Республика Саха (Якутия),1,-1,https://tabiturient.ru/logovuz/agiki.png,http://agiki.ru/,"['+7(411)234-4460', '+7 (411) 234-4460']",['+7 (411) 234-4460'],['agiki@mail.ru'],['agiki@mail.ru'],
4,Алтайский государственный медицинский университет,АГМУ,Алтайский край,1,8,https://tabiturient.ru/logovuz/asmu.png,https://asmu.ru/,[],[],[],[],
5,Армавирский государственный педагогический университет,АГПУ,Краснодарский край,1,5,https://tabiturient.ru/logovuz/agpu.png,http://www.agpu.net/,[],[],[],[],
6,Астраханский государственный технический университет,АГТУ,Астраханская область,1,3,https://tabiturient.ru/logovuz/astu.png,http://astu.org/,[],[],[],[],
7,"Альметьевский государственный нефтяной институт ""Высшая школа нефти""",АГТУ ВШН,Республика Татарстан,1,6,https://tabiturient.ru/logovuz/agnirt.png,https://агту-вшн.рф,"[""8(8553)31-09-20"", ""8-917-280-02-38""]","[""p.agni@agni-rt.ru""]","['p.agni@agni-rt.ru', 'abiturient@agni-rt.ru', 'info@minobrnauki.gov.ru', 'agni@rambler.ru']","[""abiturient@agni-rt.ru""]",
8,Адыгейский государственный университет,АГУ,Республика Адыгея,1,5,https://tabiturient.ru/logovuz/adygnet.png,https://www.adygnet.ru/,[],"['8772) 57-02-73', '8\n(8772) 570273', '8772) 570273']",['adsu@adygnet.ru'],[],
9,Астраханский государственный университет,АГУ,Астраханская область,1,5,https://tabiturient.ru/logovuz/asu.png,http://asu.edu.ru/,[],[],[],[],
10,Алатырский филиал Чувашского государственного университета имени И.Н. Ульянова,Алатырский филиал ЧГУ им. И.Н. Ульянова,Чувашская Республика,1,-1,https://tabiturient.ru/logovuz/chuvsu.png,https://alatyr.chuvsu.ru/,[],[],[],[],
11,Алтайский государственный педагогический университет,АлтГПУ,Алтайский край,1,5,https://tabiturient.ru/logovuz/altspu.png,https://www.altspu.ru/,[],[],[],[],
12,Алтайский государственный технический университет имени И. И. Ползунова,АлтГТУ им. И.И. Ползунова,Алтайский край,1,5,https://tabiturient.ru/logovuz/altstu.png,https://www.altstu.ru/,[],[],[],[],
13,Алтайский государственный университет,АлтГУ,Алтайский край,1,7,https://tabiturient.ru/logovuz/altsu.png,https://www.asu.ru/,[],[],[],"['prcom@asu.ru', 'rector@asu.ru']",
14,Алтайский государственный аграрный университет,Алтайский ГАУ,Алтайский край,1,3,https://tabiturient.ru/logovuz/asau.png,http://www.asau.ru/ru/,['+7(3852)20-32-26'],[],[],"['628-396rector@asau.ru', 'primcom@asau.ru']",
15,Алтайский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Алтайский филиал РАНХиГС,Алтайский край,1,-1,https://tabiturient.ru/logovuz/alt_ranepa.png,https://alt.ranepa.ru/,[],[],[],[],
16,Алтайский филиал Финансового Университета при Правительстве Российской Федерации,Алтайский филиал ФУ при Правительстве РФ,Алтайский край,1,-1,https://tabiturient.ru/logovuz/fu.png,http://www.fa.ru/fil/barnaul/,[],[],[],[],
17,Санкт-Петербургский национальный исследовательский Академический университет им. Ж. И. Алфёрова РАН,Алфёровский университет,Санкт-Петербург и Ленинградская область,1,8,https://tabiturient.ru/logovuz/spbau.png,https://spbau.ru/,[],[],['webmaster@spbau.ru'],[],
18,Альметьевский филиал Казанского национального исследовательского технического университета имени А. Н. Туполева,Альметьевский филиал КНИТУ-КАИ,Республика Татарстан,1,-1,https://tabiturient.ru/logovuz/kai.png,http://alf-kai.ru/,[],[],[],['alf@alf-kai.ru'],
19,Амурская государственная медицинская академия,АмГМА,Амурская область,1,7,https://tabiturient.ru/logovuz/amursma.png,https://www.amursma.ru/,[],[],['AmurSMA@AmurSMA.su'],['priemnaya@amurgma.ru'],
20,Амурский гуманитарно-педагогический государственный университет,АмГПГУ,Хабаровский край,1,5,https://tabiturient.ru/logovuz/amgpgu.png,https://www.amgpgu.ru/,['+7(4217)59-14-30'],[],[],['pr@amgpgu.ru'],
21,Ангарский государственный технический университет,АнГТУ,Иркутская область,1,3,https://tabiturient.ru/logovuz/angtu.png,http://angtu.ru/,['8 (3955) 67-18-32'],[],[],[],
22,Анапский филиал Московского педагогического государственного университета,Анапский филиал МПГУ,Краснодарский край,1,-1,https://tabiturient.ru/logovuz/mpguanapskiyfilial.png,http://mpgu.su/ob-mpgu/struktura/filialyi/anapskiy-filial,['8(961)8522595'],[],[],['f.anapa@mpgu.su'],
23,Арзамасский политехнический институт (филиал) Нижегородского государственного технического университета имени Р.Е. Алексеева,Арзамасский политехнический институт НГТУ им. Р.Е. Алексеева,Нижегородская область,1,-1,https://tabiturient.ru/logovuz/nntu.png,https://api.nntu.ru/,[],[],['cou@apinntu.ru'],['cou@apinntu.ru'],
24,Арзамасский филиал Нижегородского государственного университета имени Н. И. Лобачевского,Арзамасский филиал ННГУ,Нижегородская область,1,-1,https://tabiturient.ru/logovuz/unn.png,https://arz.unn.ru/,[],[],[],[],
25,Армавирский механико-технологический институт (филиал) Кубанского государственного технического университета,Армавирский механико-технологический институт КубГТУ,Краснодарский край,1,-1,https://tabiturient.ru/logovuz/kubstu.png,http://www.amti.ru/,[],[],[],[],
26,Астраханский государственный медицинский университет,Астраханский ГМУ,Астраханская область,1,8,https://tabiturient.ru/logovuz/astrahangmu.png,http://astgmu.ru/,[],['+7(8512) 66-94-78'],['post@astgmu.ru'],[],
27,Астраханский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Астраханский филиал РАНХиГС,Астраханская область,1,-1,https://tabiturient.ru/logovuz/astr_ranepa.png,https://astr.ranepa.ru,[],[],[],[],
28,Астраханский филиал Саратовской государственной Юридической Академии,Астраханский филиал СГЮА,Астраханская область,1,-1,https://tabiturient.ru/logovuz/sgua.png,http://af.sgap.ru/,[],"['8512) 52-27-56', '8(8512) 52-27-56']",['afsgap@yandex.ru'],[],
29,Ачинский филиал Красноярского государственного аграрного университета,Ачинский филиал КрасГАУ,Красноярский край,1,-1,https://tabiturient.ru/logovuz/krasgau.png,http://www.afkras.ru/,[],[],[],[],
30,Башкирская академия государственной службы и управления при Главе Республики Башкортостан,БАГСУ,Республика Башкортостан,1,-1,https://tabiturient.ru/logovuz/bagsurb.png,https://www.bagsurb.ru,[],[],[],[],
31,Белгородский государственный институт искусств и культуры,БГИИК,Белгородская область,1,-1,https://tabiturient.ru/logovuz/bgiik.png,https://bgiik.ru/,[],[],[],[],
32,Брянский государственный инженерно-технологический университет,БГИТУ,Брянская область,1,3,https://tabiturient.ru/logovuz/bgitu.png,http://www.bgitu.ru/,[],"['+7 (4832) 74-60-08', '+7 (4832) 64-99-12']",['mail@bgitu.ru'],[],
33,Башкирский государственный медицинский университет,БГМУ,Республика Башкортостан,1,7,https://tabiturient.ru/logovuz/bashgmu.png,https://bashgmu.ru/,['8 (347) 272-11-60'],[],[],['bashsmu@yandex.ru'],
34,Благовещенский государственный педагогический университет,БГПУ,Амурская область,1,3,https://tabiturient.ru/logovuz/bgpu.png,https://bgpu.ru/,[],[],[],[],
35,Башкирский государственный педагогический университет имени М. Акмуллы,БГПУ им. М. Акмуллы,Республика Башкортостан,1,8,https://tabiturient.ru/logovuz/bspu.png,https://bspu.ru/,['+7 (347) 246-46-75'],[],[],['office@bspu.ru'],
36,Брянский государственный технический университет,БГТУ,Брянская область,1,5,https://tabiturient.ru/logovuz/tubryansk.png,https://www.tu-bryansk.ru/,[],[],[],[],
37,Белгородский государственный технологический университет имени В.Г. Шухова,БГТУ им. В.Г. Шухова,Белгородская область,1,6,https://tabiturient.ru/logovuz/bstu.png,http://www.bstu.ru/,[],[],[],[],
38,Балтийский государственный технический университет,БГТУ им. Д. Ф. Устинова (Военмех),Санкт-Петербург и Ленинградская область,1,7,https://tabiturient.ru/logovuz/voenmeh.png,https://www.voenmeh.ru/,"['+7 (812) 495-76-20', '+7 (812) 490-05-91', '+7 (812) 316-23-94']","['+7(911)240-81-61', '+7 (812) 490-05-91']",['bgtu@voenmeh.ru'],"['media_center@voenmeh.ruE', 'bgtu@voenmeh.ru']",
39,Брянский государственный университет имени академика И.Г. Петровского,БГУ,Брянская область,1,5,https://tabiturient.ru/logovuz/brgu.png,https://brgu.ru/,[],['+7(4832)58-90-85'],['bryanskgu@mail.ru'],[],
40,Байкальский государственный университет,БГУ,Иркутская область,1,7,https://tabiturient.ru/logovuz/bgu.png,http://bgu.ru/,['8 (800) 222-55-71'],[],['info@bgu.ru'],"['info@bgu.ru', 'priem@bgu.ru']",
41,Бурятский государственный университет имени Доржи Банзарова,БГУ им. Доржи Банзарова,Республика Бурятия,1,5,https://tabiturient.ru/logovuz/bsu.png,https://www.bsu.ru/,[],[],[],[],
42,Балашовский институт Саратовского государственного университета имени Н. Г. Чернышевского,БИ СГУ им. Н. Г. Чернышевского,Саратовская область,1,-1,https://tabiturient.ru/logovuz/sgu.png,https://www.sgu.ru/structure/bisgu,['8 (937) 811-67-46'],[],[],"['rector@sgu.ru', 'cpk@sgu.ru']",
43,Бурятский институт инфокоммуникаций (филиал) Сибирского государственного университета телекоммуникаций и информатики,БИИК СибГУТИ,Республика Бурятия,1,-1,https://tabiturient.ru/logovuz/sibsutis.png,http://biik.ru/,['8 (3012) 24-00-24'],['+7 (3012) 37-94-24'],[],['bfsibguti@mail.ru'],
44,Балаковский инженерно-технологический институт  (филиал) Национального исследовательского ядерного университета МИФИ,БИТИ НИЯУ МИФИ,Саратовская область,1,-1,https://tabiturient.ru/logovuz/bitimephi.png,https://biti.mephi.ru/,[],['+7 (8453) 23-18-94'],['biti@mephi.ru'],[],
45,Беловский институт (филиал) Кемеровского государственного университета,БИФ КемГУ,Кемеровская область,1,-1,https://tabiturient.ru/logovuz/kemsu.png,http://www.belovo.ru/,[],[],[],[],
46,Борисоглебский филиал Воронежского государственного университета,БФ ВГУ,Воронежская область,1,-1,https://tabiturient.ru/logovuz/vsu.png,https://bsk.vsu.ru/,['8 (800) 222-55-71'],[],[],[],
47,Березниковский филиал Пермского национального исследовательского политехнического университета,БФ ПНИПУ,Пермский край,1,-1,https://tabiturient.ru/logovuz/pstu.png,http://www.bf.pstu.ru,['+7 (3424)\xa026-80-39'],[],[],"['odp@bf.pstu.ru', 'sekret@bf.pstu.ru']",
48,Балтийский федеральный университет имени Иммануила Канта,БФУ им. И. Канта,Калининградская область,1,8,https://tabiturient.ru/logovuz/kantiana.png,https://www.kantiana.ru,[],[],[],[],
49,Балаковский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Балаковский филиал РАНХиГС,Саратовская область,1,-1,https://tabiturient.ru/logovuz/blk_ranepa.png,https://blk.ranepa.ru/,[],[],[],[],
50,Балаковский филиал Саратовской государственной Юридической Академии,Балаковский филиал СГЮА,Саратовская область,1,-1,https://tabiturient.ru/logovuz/sgua.png,http://balakovo.ssla.ru,[],[],[],[],
51,Балахнинский филиал Нижегородского государственного университета имени Н. И. Лобачевского,Балахнинский филиал ННГУ,Нижегородская область,1,-1,https://tabiturient.ru/logovuz/unn.png,http://www.unn.ru/cdo/Balakhna,[],[],[],[],
52,Башкирский государственный аграрный университет,БашГАУ,Республика Башкортостан,1,6,https://tabiturient.ru/logovuz/bsau.png,https://www.bsau.ru/,[],[],[],[],
53,Башкирский институт технологий и управления - филиал Московского государственного университета технологий и управления им. К.Г. Разумовского,Башкирский институт технологий и управления МГУТУ,Республика Башкортостан,1,-1,https://tabiturient.ru/logovuz/mgutu.png,http://www.mfmgutu.ru,[],[],['mail@mfmgutu.ru'],['mail@mfmgutu.ru'],
54,Башкирский институт физической культуры (филиал) Уральского государственного университета физической культуры,Башкирский институт физической культуры УралГУФК,Республика Башкортостан,1,-1,https://tabiturient.ru/logovuz/uralgufk.png,https://www.bifk.ru/,[],[],[],[],
55,Белгородский государственный национальный исследовательский университет,БелГУ,Белгородская область,1,6,https://tabiturient.ru/logovuz/belgu.png,https://www.bsu.edu.ru,[],[],[],[],
56,Белгородский государственный аграрный университет им. В.Я. Горина,Белгородский ГАУ,Белгородская область,1,6,https://tabiturient.ru/logovuz/bsaa.png,http://www.bsaa.edu.ru/,[],[],[],[],
57,Бийский технологический институт (филиал) Алтайского государственного технического университета имени И. И. Ползунова,Бийский технологический институт АлтГТУ им. И.И. Ползунова,Алтайский край,1,-1,https://tabiturient.ru/logovuz/altstu.png,http://www.bti.secna.ru/,['+7 (3854) 43-22-55'],[],[],['info@bti.secna.ru'],
58,Братский государственный университет,БрГУ,Иркутская область,1,3,https://tabiturient.ru/logovuz/brstu.png,https://brstu.ru/,[],[],[],['rector@brstu.ru'],
59,Бронницкий филиал Московского автомобильно-дорожного государственного технического университета,Бронницкий филиал МАДИ,Москва и Московская область,1,-1,https://tabiturient.ru/logovuz/madi.png,http://www.bronmadi.ru/view_doc.html?mode=home,[],[],[],[],
60,Брянский филиал Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,Брянский филиал РАНХиГС,Брянская область,1,-1,https://tabiturient.ru/logovuz/br_ranepa.png,https://br.ranepa.ru/,[],[],[],[],
61,Брянский филиал Российского экономического университета имени Г.В. Плеханова,Брянский филиал РЭУ им. Плеханова,Брянская область,1,-1,https://tabiturient.ru/logovuz/reu.png,https://bryansk.rea.ru/,['+7 (495) 958-27-43'],['8 (800) 222-55-71'],[],['rector@rea.ru'],
62,Бугульминский филиал Казанского национального исследовательского технологического университета,Бугульминский филиал КНИТУ,Республика Татарстан,1,-1,https://tabiturient.ru/logovuz/knitu.png,https://bfknitu.com/,[],[],[],['bf-kgtu@yandex.ru'],
63,Бузулукский гуманитарно-технологический институт (филиал) Оренбургского государственного университета,Бузулукский гуманитарно-технологический институт (филиал) ОГУ,Оренбургская область,1,-1,https://tabiturient.ru/logovuz/osu.png,http://bgti.osu.ru/,[],[],['edu@bgti.ru'],[],
64,Бурятская государственная сельскохозяйственная академия имени В. Р. Филиппова,Бурятская ГСХА,Республика Бурятия,1,3,https://tabiturient.ru/logovuz/bgsha.png,http://www.bgsha.ru/,[],[],[],[],
65,Всероссийская академия внешней торговли Министерства экономического развития Российской Федерации,ВАВТ Минэкономразвития России,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/vavt.png,https://postupi.vavt.ru/?utm_source=tabit,['+7 (499) 147-54-54'],"['+7 (499) 143-12-35', '+7 (499) 147-54-54', '8 (499) 147-54-54']",['courses@vavt.ru'],['abiturient@vavt.ru'],
66,Волго-Вятский филиал Московского технического университета связи и информатики,ВВФ МТУСИ,Нижегородская область,1,5,https://tabiturient.ru/logovuz/vvfmtuci.png,https://www.vvfmtuci.ru,[],['+7 (831) 245-44-15'],['pk@vvfmtuci.ru'],[],
67,Воронежский государственный аграрный университет имени Императора Петра I,ВГАУ им. Петра I,Воронежская область,1,3,https://tabiturient.ru/logovuz/vsau.png,http://www.vsau.ru/,[],[],[],[],
68,Волгоградская государственная академия физической культуры,ВГАФК,Волгоградская область,1,5,https://tabiturient.ru/logovuz/vgafk.png,http://www.vgafk.ru/,[],['8442) 23-01-95'],['academy@vgafk.ru'],[],
69,Волгоградский государственный институт искусств и культуры,ВГИИК,Волгоградская область,1,-1,https://tabiturient.ru/logovuz/vgiik.png,https://вгиик.рф,[],[],[],[],
70,Всероссийский государственный институт кинематографии им. С.А. Герасимова,ВГИК,Москва и Московская область,1,-1,https://tabiturient.ru/logovuz/vgik.png,http://www.vgik.info,[],['+7 (499) 181-13-14'],['mail@vgik.info'],[],
71,Воронежский государственный институт физической культуры,ВГИФК,Воронежская область,1,6,https://tabiturient.ru/logovuz/vgifk.png,https://www.vgifk.ru/,['+7(473) 280-02-71'],[],[],['kanc@vgifk.ru'],
72,Воронежский государственный лесотехнический университет имени Г.Ф. Морозова,ВГЛТУ им. Г.Ф. Морозова,Воронежская область,1,5,https://tabiturient.ru/logovuz/vgltu.png,http://vgltu.ru/,['+7 (800) 550-15-02'],[],[],[],
73,Воронежский государственный медицинский университет имени Н.Н. Бурденко,ВГМУ им. Н.Н. Бурденко,Воронежская область,1,9,https://tabiturient.ru/logovuz/vsmaburdenko.png,http://vrngmu.ru/,[],[],[],['mail@vrngmu.ru'],
74,Воронежский государственный педагогический университет,ВГПУ,Воронежская область,1,7,https://tabiturient.ru/logovuz/vspu.png,http://www.vspu.ac.ru/,[],[],[],[],
75,Волгоградский государственный социально-педагогический университет,ВГСПУ,Волгоградская область,1,5,https://tabiturient.ru/logovuz/volgspu.png,https://vspu.ru/,[],[],[],[],
76,Воронежский государственный технический университет,ВГТУ,Воронежская область,1,5,https://tabiturient.ru/logovuz/cchgeu.png,http://cchgeu.ru/,['+7 (473) 271-53-15'],['+7 (473) 207-22-20'],['rector@cchgeu.ru'],['priem@cchgeu.ru'],
77,Воронежский государственный университет,ВГУ,Воронежская область,1,7,https://tabiturient.ru/logovuz/vsu.png,https://www.vsu.ru,[],[],[],[],
78,Волжский государственный университет водного транспорта,ВГУВТ,Нижегородская область,1,3,https://tabiturient.ru/logovuz/vsuwt.png,http://www.vsuwt.ru/,[],[],[],[],
79,Воронежский государственный университет инженерных технологий,ВГУИТ,Воронежская область,1,3,https://tabiturient.ru/logovuz/vsuet.png,http://www.vsuet.ru/,['8 (800) 222-55-71'],[],[],['pk@vsuet.ru'],
80,Всероссийский государственный университет юстиции (РПА Минюста России),ВГУЮ,Москва и Московская область,1,10,https://tabiturient.ru/logovuz/rpa.png,https://rpa-mu.ru/,"[""+7 (499) 963-01-01 доб. 3300""]","[""rpa@rpa-mjust.ru""]",[],"[""abiturient-rpa@mail.ru""]",
81,Волгодонский инженерно-технический институт (филиал) Национального исследовательского ядерного университета МИФИ,ВИТИ НИЯУ МИФИ,Ростовская область,1,-1,https://tabiturient.ru/logovuz/vitimephi.png,https://viti-mephi.ru/,['8(8639) 22-57-64'],[],[],['viti@mephi.ru'],
82,Великолукская государственная академия физической культуры и спорта,ВЛГАФК,Псковская область,1,6,https://tabiturient.ru/logovuz/vlgafc.png,http://www.vlgafc.ru/,['+79113580317'],['+79113580317'],[],[],
83,Восточно-Сибирский государственный институт культуры,ВСГИК,Республика Бурятия,1,-1,https://tabiturient.ru/logovuz/vsgaki.png,https://www.vsgaki.ru/,[],[],['info@vsgaki.ru'],[],
84,Восточно-Сибирский государственный университет технологий и управления,ВСГУТУ,Республика Бурятия,1,3,https://tabiturient.ru/logovuz/esstu.png,https://esstu.ru/,[],[],['office@esstu.ru'],['pkesstu@mail.ru'],
85,Восточно-Сибирский Российского Государственного Университета Правосудия (г. Иркутск),ВСФ ФГБОУВО «РГУП»,Иркутская область,1,-1,https://tabiturient.ru/logovuz/raj.png,https://esb.rgup.ru/,['+7 (3952)  41-09-20'],[],[],[],
86,Волжский филиал Московского автомобильно-дорожного государственного технического университета,ВФ МАДИ,Чувашская Республика,1,-1,https://tabiturient.ru/logovuz/madi.png,https://www.vfmadi.ru,[],[],['vfmadi@mail.ru'],[],
87,Великолукская государственная сельскохозяйственная академия,Великолукская ГСХА,Псковская область,1,3,https://tabiturient.ru/logovuz/vgsa.png,http://www.vgsa.ru/,[],[],[],[],
88,Великолукский филиал Петербургского государственного университета путей сообщения Императора Александра I,Великолукский филиал ПГУПС,Псковская область,1,-1,https://tabiturient.ru/logovuz/pgups.png,https://vf-pgups.ru/,[],[],['vf@pgups.ru'],[],
89,Верхневолжский государственный агробиотехнологический университет,Верхневолжский ГАУ,Ивановская область,1,3,https://tabiturient.ru/logovuz/ivgsha.png,https://v-gau.ru/,[],['+7 (4932)\xa032-54-02'],['rektorat@ivgsha.ru'],[],
90,Владимирский государственный университет имени А. Г. и Н. Г. Столетовых,ВлГУ им. А. Г. и Н. Г. Столетовых,Владимирская область,1,5,https://tabiturient.ru/logovuz/vlsu.png,https://www.vlsu.ru/,[],[],[],[],
