direction,profile,program_code,vuz,faculty,exams,scores,forms
Психология,Психология,37.03.01,Автономная некоммерческая организация высшего образования «Московский информационно-технологический университет – Московский архитектурно-строительный институт» (МИТУ-МАСИ),Психология,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Реклама и связи с общественностью,Реклама и связи с общественностью,42.03.01,Автономная некоммерческая организация высшего образования «Московский информационно-технологический университет – Московский архитектурно-строительный институт» (МИТУ-МАСИ),Реклама и связи с общественностью,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Строительство,Строительство,08.03.01,Автономная некоммерческая организация высшего образования «Московский информационно-технологический университет – Московский архитектурно-строительный институт» (МИТУ-МАСИ),Строительство,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Торговое дело,Торговое дело,38.03.06,Автономная некоммерческая организация высшего образования «Московский информационно-технологический университет – Московский архитектурно-строительный институт» (МИТУ-МАСИ),Торговое дело,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Экономика,Экономика,38.03.01,Автономная некоммерческая организация высшего образования «Московский информационно-технологический университет – Московский архитектурно-строительный институт» (МИТУ-МАСИ),Экономика,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Юриспруденция,Юриспруденция,40.03.01,Автономная некоммерческая организация высшего образования «Московский информационно-технологический университет – Московский архитектурно-строительный институт» (МИТУ-МАСИ),Юриспруденция,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Вокальное искусство,Вокальное искусство,53.03.03,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Вокальное искусство,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Гостиничное дело,Гостиничное дело,43.03.03,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Гостиничное дело,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Государственное и муниципальное управление,Государственное и муниципальное управление,38.03.04,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Государственное и муниципальное управление,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Дизайн,Дизайн,54.03.01,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Дизайн,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Журналистика,Журналистика,42.03.02,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Журналистика,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Зарубежное регионоведение,Зарубежное регионоведение,41.03.01,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Зарубежное регионоведение,[],"[['очная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Культурология,Культурология,51.03.01,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Культурология,[],"[['заочная']]","[{'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Международные отношения,Международные отношения,41.03.05,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Международные отношения,[],"[['очная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Менеджмент,Менеджмент,38.03.02,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Менеджмент,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Музыкальное искусство эстрады,Музыкальное искусство эстрады,53.03.01,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Музыкальное искусство эстрады,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Прикладная информатика,Прикладная информатика,09.03.03,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Прикладная информатика,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психология,Психология,37.03.01,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Психология,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психолого-педагогическое образование,Психолого-педагогическое образование,44.03.02,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Психолого-педагогическое образование,[],"[['заочная']]","[{'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Реклама и связи с общественностью,Реклама и связи с общественностью,42.03.01,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Реклама и связи с общественностью,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Туризм,Туризм,43.03.02,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Туризм,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Управление персоналом,Управление персоналом,38.03.03,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Управление персоналом,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Экономика,Экономика,38.03.01,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Экономика,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Юриспруденция,Юриспруденция,40.03.01,Автономная некоммерческая организация высшего образования «Московский гуманитарный университет»,Юриспруденция,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Бизнес-информатика,Бизнес-информатика,38.03.05,Образовательная автономная некоммерческая организация высшего образования «Московский психолого-социальный университет»,Бизнес-информатика,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Государственное и муниципальное управление,Государственное и муниципальное управление,38.03.04,Образовательная автономная некоммерческая организация высшего образования «Московский психолого-социальный университет»,Государственное и муниципальное управление,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Менеджмент,Менеджмент,38.03.02,Образовательная автономная некоммерческая организация высшего образования «Московский психолого-социальный университет»,Менеджмент,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психология,Психология,37.03.01,Образовательная автономная некоммерческая организация высшего образования «Московский психолого-социальный университет»,Психология,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психолого-педагогическое образование,Психолого-педагогическое образование,44.03.02,Образовательная автономная некоммерческая организация высшего образования «Московский психолого-социальный университет»,Психолого-педагогическое образование,[],"[['очная'], ['+', 'заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Реклама и связи с общественностью,Реклама и связи с общественностью,42.03.01,Образовательная автономная некоммерческая организация высшего образования «Московский психолого-социальный университет»,Реклама и связи с общественностью,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Специальное (дефектологическое) образование,Специальное (дефектологическое) образование,44.03.03,Образовательная автономная некоммерческая организация высшего образования «Московский психолого-социальный университет»,Специальное (дефектологическое) образование,[],"[['очная'], ['+', 'заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Управление персоналом,Управление персоналом,38.03.03,Образовательная автономная некоммерческая организация высшего образования «Московский психолого-социальный университет»,Управление персоналом,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Экономика,Экономика,38.03.01,Образовательная автономная некоммерческая организация высшего образования «Московский психолого-социальный университет»,Экономика,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Юриспруденция,Юриспруденция,40.03.01,Образовательная автономная некоммерческая организация высшего образования «Московский психолого-социальный университет»,Юриспруденция,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Дизайн,Дизайн,54.03.01,Учреждение высшего образования «Московский художественно-промышленный институт»,Дизайн,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Дизайн,Дизайн,54.03.01,Автономная некоммерческая организация высшего образования «Национальный Институт Дизайна»,Дизайн,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Журналистика,Журналистика,42.03.02,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,Журналистика,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Международные отношения,Международные отношения,41.03.05,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,Международные отношения,[],"[['очная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Менеджмент,Менеджмент,38.03.02,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,Менеджмент,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Педагогическое образование (с двумя профилями подготовки),Педагогическое образование (с двумя профилями подготовки),44.03.05,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,Педагогическое образование (с двумя профилями подготовки),[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Прикладная информатика,Прикладная информатика,09.03.03,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,Прикладная информатика,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психология,Психология,37.03.01,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,Психология,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Реклама и связи с общественностью,Реклама и связи с общественностью,42.03.01,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,Реклама и связи с общественностью,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Экономика,Экономика,38.03.01,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,Экономика,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Юриспруденция,Юриспруденция,40.03.01,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,Юриспруденция,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Бизнес-информатика,Бизнес-информатика,38.03.05,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,Бизнес-информатика,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Государственное и муниципальное управление,Государственное и муниципальное управление,38.03.04,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,Государственное и муниципальное управление,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Менеджмент,Менеджмент,38.03.02,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,Менеджмент,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Педагогическое образование (с двумя профилями подготовки),Педагогическое образование (с двумя профилями подготовки),44.03.05,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,Педагогическое образование (с двумя профилями подготовки),[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Прикладная информатика,Прикладная информатика,09.03.03,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,Прикладная информатика,[],"[['+', 'очная'], ['заочная']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Психолого-педагогическое образование,Психолого-педагогическое образование,44.03.02,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,Психолого-педагогическое образование,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Регионоведение Россиии,Регионоведение Россиии,41.03.02,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,Регионоведение Россиии,[],"[['очная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Реклама и связи с общественностью,Реклама и связи с общественностью,42.03.01,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,Реклама и связи с общественностью,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Специальное (дефектологическое) образование,Специальное (дефектологическое) образование,44.03.03,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,Специальное (дефектологическое) образование,[],"[['очная'], ['заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Туризм,Туризм,43.03.02,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,Туризм,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Управление персоналом,Управление персоналом,38.03.03,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,Управление персоналом,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Экономика,Экономика,38.03.01,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,Экономика,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Юриспруденция,Юриспруденция,40.03.01,Частное образовательное учреждение высшего образования «Московский университет имени С.Ю. Витте»,Юриспруденция,[],"[['очная'], ['заочная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Юриспруденция,Юриспруденция,40.03.01,Образовательное частное учреждение высшего образования «Международный юридический институт»,Юриспруденция,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Востоковедение и африканистика,Востоковедение и африканистика,58.03.01,Образовательное частное учреждение высшего образования «Московская международная академия»,Востоковедение и африканистика,[],"[['очная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Государственное и муниципальное управление,Государственное и муниципальное управление,38.03.04,Образовательное частное учреждение высшего образования «Московская международная академия»,Государственное и муниципальное управление,[],"[['очная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Лингвистика,Лингвистика,45.03.02,Образовательное частное учреждение высшего образования «Московская международная академия»,Лингвистика,[],"[['очная'], ['заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Менеджмент,Менеджмент,38.03.02,Образовательное частное учреждение высшего образования «Московская международная академия»,Менеджмент,[],"[['очная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Педагогическое образование,Педагогическое образование,44.03.01,Образовательное частное учреждение высшего образования «Московская международная академия»,Педагогическое образование,[],"[['+', 'очная'], ['заочная'], ['до']]","[{'education_form2': 'Очная', 'score': '+', 'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
